Date,Open,High,Low,Close,Adj Close,Volume
2011-04-14,71.830002,71.830002,71.830002,71.830002,51.221130,0
2011-04-15,72.169998,72.169998,72.169998,72.169998,51.463581,0
2011-04-18,70.879997,70.879997,70.879997,70.879997,50.543694,0
2011-04-19,71.519997,71.519997,71.519997,71.519997,51.000061,0
2011-04-20,73.190002,73.190002,73.190002,73.190002,52.190926,0
2011-04-21,73.709999,73.709999,73.709999,73.709999,52.561729,0
2011-04-25,73.339996,73.339996,73.339996,73.339996,52.297886,0
2011-04-26,73.879997,73.879997,73.879997,73.879997,52.682949,0
2011-04-27,74.190002,74.190002,74.190002,74.190002,52.904018,0
2011-04-28,74.379997,74.379997,74.379997,74.379997,53.039497,0
2011-04-29,75.419998,75.419998,75.419998,75.419998,53.781120,0
2011-05-02,74.690002,74.690002,74.690002,74.690002,53.260567,0
2011-05-03,72.980003,72.980003,72.980003,72.980003,52.041176,0
2011-05-04,71.730003,71.730003,71.730003,71.730003,51.149826,0
2011-05-05,70.000000,70.000000,70.000000,70.000000,49.916176,0
2011-05-06,70.250000,70.250000,70.250000,70.250000,50.094444,0
2011-05-09,71.419998,71.419998,71.419998,71.419998,50.928768,0
2011-05-10,71.760002,71.760002,71.760002,71.760002,51.171211,0
2011-05-11,69.820000,69.820000,69.820000,69.820000,49.787823,0
2011-05-12,69.599998,69.599998,69.599998,69.599998,49.630947,0
2011-05-13,68.949997,68.949997,68.949997,68.949997,49.167442,0
2011-05-16,68.470001,68.470001,68.470001,68.470001,48.825146,0
2011-05-17,68.699997,68.699997,68.699997,68.699997,48.989162,0
2011-05-18,69.889999,69.889999,69.889999,69.889999,49.837742,0
2011-05-19,69.970001,69.970001,69.970001,69.970001,49.894791,0
2011-05-20,69.830002,69.830002,69.830002,69.830002,49.794949,0
2011-05-23,68.510002,68.510002,68.510002,68.510002,48.853680,0
2011-05-24,69.440002,69.440002,69.440002,69.440002,49.516846,0
2011-05-25,70.489998,70.489998,70.489998,70.489998,50.265591,0
2011-05-26,71.080002,71.080002,71.080002,71.080002,50.686310,0
2011-05-27,71.470001,71.470001,71.470001,71.470001,50.964409,0
2011-05-31,72.389999,72.389999,72.389999,72.389999,51.620464,0
2011-06-01,70.589996,70.589996,70.589996,70.589996,50.336903,0
2011-06-02,70.669998,70.669998,70.669998,70.669998,50.393940,0
2011-06-03,70.589996,70.589996,70.589996,70.589996,50.336903,0
2011-06-06,69.250000,69.250000,69.250000,69.250000,49.381355,0
2011-06-07,69.449997,69.449997,69.449997,69.449997,49.523975,0
2011-06-08,69.550003,69.550003,69.550003,69.550003,49.595291,0
2011-06-09,70.400002,70.400002,70.400002,70.400002,50.201412,0
2011-06-10,69.010002,69.010002,69.010002,69.010002,49.210224,0
2011-06-13,68.139999,68.139999,68.139999,68.139999,48.589832,0
2011-06-14,69.400002,69.400002,69.400002,69.400002,49.488327,0
2011-06-15,67.779999,67.779999,67.779999,67.779999,48.333111,0
2011-06-16,67.639999,67.639999,67.639999,67.639999,48.233280,0
2011-06-17,67.570000,67.570000,67.570000,67.570000,48.183376,0
2011-06-20,67.500000,67.500000,67.500000,67.500000,48.133446,0
2011-06-21,68.959999,68.959999,68.959999,68.959999,49.174568,0
2011-06-22,68.620003,68.620003,68.620003,68.620003,48.932121,0
2011-06-23,67.879997,67.879997,67.879997,67.879997,48.404423,0
2011-06-24,66.830002,66.830002,66.830002,66.830002,47.655693,0
2011-06-27,67.269997,67.269997,67.269997,67.269997,47.969440,0
2011-06-28,68.870003,68.870003,68.870003,68.870003,49.110390,0
2011-06-29,69.809998,69.809998,69.809998,69.809998,49.780685,0
2011-06-30,70.860001,70.860001,70.860001,70.860001,50.529434,0
2011-07-01,71.440002,71.440002,71.440002,71.440002,50.943024,0
2011-07-05,71.669998,71.669998,71.669998,71.669998,51.107029,0
2011-07-06,71.379997,71.379997,71.379997,71.379997,50.900234,0
2011-07-07,72.419998,72.419998,72.419998,72.419998,51.641850,0
2011-07-08,71.809998,71.809998,71.809998,71.809998,51.206867,0
2011-07-11,69.959999,69.959999,69.959999,69.959999,49.887650,0
2011-07-12,69.589996,69.589996,69.589996,69.589996,49.623810,0
2011-07-13,70.339996,70.339996,70.339996,70.339996,50.158619,0
2011-07-14,69.940002,69.940002,69.940002,69.940002,49.873394,0
2011-07-15,71.489998,71.489998,71.489998,71.489998,50.978668,0
2011-07-18,71.110001,71.110001,71.110001,71.110001,50.707699,0
2011-07-19,72.410004,72.410004,72.410004,72.410004,51.634720,0
2011-07-20,72.449997,72.449997,72.449997,72.449997,51.663227,0
2011-07-21,73.830002,73.830002,73.830002,73.830002,52.647305,0
2011-07-22,74.129997,74.129997,74.129997,74.129997,52.861240,0
2011-07-25,74.019997,74.019997,74.019997,74.019997,52.782791,0
2011-07-26,73.900002,73.900002,73.900002,73.900002,52.697220,0
2011-07-27,72.360001,72.360001,72.360001,72.360001,51.599072,0
2011-07-28,72.190002,72.190002,72.190002,72.190002,51.477848,0
